Field,Date,FIBBG000B9XRY4
Close,2023-01-03,124.375
Close,2023-01-04,125.658
Close,2023-01-05,124.325
Close,2023-01-06,128.9
Close,2023-01-09,129.427
Close,2023-01-10,130.003
Close,2023-01-11,132.748
Close,2023-01-12,132.668
Close,2023-01-13,134.011
Close,2023-01-17,135.184
Close,2023-01-18,134.458
Close,2023-01-19,134.518
Close,2023-01-20,137.104
Close,2023-01-23,140.326
Close,2023-01-24,141.738
Close,2023-01-25,141.071
Close,2023-01-26,143.16
Close,2023-01-27,145.119
Close,2023-01-30,142.205
Close,2023-01-31,143.488
Close,2023-02-01,144.622
Close,2023-02-02,149.982
Close,2023-02-03,153.641
Close,2023-02-06,150.887
Close,2023-02-07,153.79
Close,2023-02-08,151.076
Close,2023-02-09,150.031
Close,2023-02-10,150.4
Close,2023-02-13,153.228
Close,2023-02-14,152.581
Close,2023-02-15,154.702
Close,2023-02-16,153.089
Close,2023-02-17,151.934
Close,2023-02-21,147.88
Close,2023-02-22,148.308
Close,2023-02-23,148.796
Close,2023-02-24,146.117
Close,2023-02-27,147.322
Close,2023-02-28,146.814
Close,2023-03-01,144.723
Close,2023-03-02,145.321
Close,2023-03-03,150.42
Close,2023-03-06,153.209
Close,2023-03-07,150.988
Close,2023-03-08,152.252
Close,2023-03-09,149.982
Close,2023-03-10,147.9
Close,2023-03-13,149.862
Close,2023-03-14,151.974
Close,2023-03-15,152.372
Close,2023-03-16,155.22
Close,2023-03-17,154.374
Close,2023-03-20,156.764
Close,2023-03-21,158.636
Close,2023-03-22,157.192
Close,2023-03-23,158.288
Close,2023-03-24,159.603
Close,2023-03-27,157.641
Close,2023-03-28,157.013
Close,2023-03-29,160.12
Close,2023-03-30,161.704
Close,2023-03-31,164.234
Close,2023-04-03,165.499
Close,2023-04-04,164.961
Close,2023-04-05,163.098
Close,2023-04-06,163.995
Close,2023-04-10,161.375
Close,2023-04-11,160.15
Close,2023-04-12,159.453
Close,2023-04-13,164.891
Close,2023-04-14,164.543
Close,2023-04-17,164.562
Close,2023-04-18,165.797
Close,2023-04-19,166.953
Close,2023-04-20,165.977
Close,2023-04-21,164.353
Close,2023-04-24,164.662
Close,2023-04-25,163.108
Close,2023-04-26,163.098
Close,2023-04-27,167.73
Close,2023-04-28,168.994
Close,2023-05-01,168.905
Close,2023-05-02,167.859
Close,2023-05-03,166.773
Close,2023-05-04,165.12
Close,2023-05-05,172.869
Close,2023-05-08,172.799
Close,2023-05-09,171.076
Close,2023-05-10,172.854
Close,2023-05-11,173.048
Close,2023-05-12,172.111
Close,2023-05-15,171.612
Close,2023-05-16,171.612
Close,2023-05-17,172.23
Close,2023-05-18,174.584
Close,2023-05-19,174.694
Close,2023-05-22,173.736
Close,2023-05-23,171.103
Close,2023-05-24,171.382
Close,2023-05-25,172.529
Close,2023-05-26,174.963
Close,2023-05-30,176.828
Close,2023-05-31,176.778
Close,2023-06-01,179.611
Close,2023-06-02,180.468
Close,2023-06-05,179.102
Close,2023-06-06,178.733
Close,2023-06-07,177.347
Close,2023-06-08,180.089
Close,2023-06-09,180.478
Close,2023-06-12,183.301
Close,2023-06-13,182.822
Close,2023-06-14,183.46
Close,2023-06-15,185.515
Close,2023-06-16,184.428
Close,2023-06-20,184.517
Close,2023-06-21,183.47
Close,2023-06-22,186.502
Close,2023-06-23,186.183
Close,2023-06-26,184.777
Close,2023-06-27,187.559
Close,2023-06-28,188.746
Close,2023-06-29,189.085
Close,2023-06-30,193.454
Close,2023-07-03,191.948
Close,2023-07-05,190.821
Close,2023-07-06,191.299
Close,2023-07-07,190.172
Close,2023-07-10,188.108
Close,2023-07-11,187.579
Close,2023-07-12,189.265
Close,2023-07-13,190.033
Close,2023-07-14,190.182
Close,2023-07-17,193.474
Close,2023-07-18,193.214
Close,2023-07-19,194.581
Close,2023-07-20,192.616
Close,2023-07-21,191.429
Close,2023-07-24,192.237
Close,2023-07-25,193.104
Close,2023-07-26,193.982
Close,2023-07-27,192.706
Close,2023-07-28,195.309
Close,2023-07-31,195.927
Close,2023-08-01,195.084
Close,2023-08-02,192.067
Close,2023-08-03,190.661
Close,2023-08-04,181.505
Close,2023-08-07,178.374
Close,2023-08-08,179.321
Close,2023-08-09,177.716
Close,2023-08-10,177.496
Close,2023-08-11,177.556
Close,2023-08-14,179.224
Close,2023-08-15,177.217
Close,2023-08-16,176.338
Close,2023-08-17,173.771
Close,2023-08-18,174.26
Close,2023-08-21,175.609
Close,2023-08-22,176.997
Close,2023-08-23,180.882
Close,2023-08-24,176.148
Close,2023-08-25,178.375
